driver name;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
Minardi;1;1;4;4;4;4;4;4;4;4;4;4;4;3;2;2;3;2;1;1;1;1;1;1;3;5;1;1;2;2;3;3;3;3
Mike Murphy;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;2;3;2;2;2;2;2;2;1;1;2;2;1;1;1;1;1;1
Palo_O;3;3;1;1;1;1;1;1;1;1;1;2;2;2;5;5;4;7;7;6;6;6;6;6;6;4;7;7;7;7;7;7;6;6
White Van Man;4;5;7;6;6;6;6;6;8;6;6;6;6;6;6;6;5;4;8;8;8;8;8;8;6;8;8;8;8;8;8;8;;8
Perre;5;4;3;3;3;3;3;3;3;3;3;3;3;4;3;3;1;1;4;4;4;3;3;3;2;2;3;3;3;3;2;2;2;2
IxDo;6;9;10;6;7;7;7;8;7;7;7;7;7;7;7;7;8;6;5;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5
Doghouse;7;6;5;5;5;5;5;5;6;5;5;5;5;5;4;4;7;5;3;3;3;4;4;4;7;3;4;4;4;4;4;4;4;4
Royal_T62;8;7;6;7;8;8;8;7;5;8;8;8;8;8;8;8;6;8;6;7;7;7;7;7;5;7;6;6;6;6;6;6;7;7
Nomosizzle;9;8;8;10;10;10;10;10;11;11;11;11;11;11;11;11;10;10;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;
Kenjo;10;10;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;11;10;10;10;10;10;10;10;10;10;10;10;10;10;10;11;
ImPERium;11;11;11;11;11;11;11;11;10;10;10;10;10;10;10;10;11;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9
Bearder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
